context	question	answers
"According to figures published in 2006 in the journal ""Demoskop Weekly"" research deputy director of Research Center for Sociological Research of the Ministry of Education and Science (Russia) Arefyev A. L., the Russian language is gradually losing its position in the world in general, and in Russia in particular. In 2012, A. L. Arefyev published a new study ""Russian language at the turn of the 20th-21st centuries"", in which he confirmed his conclusion about the trend of further weakening of the Russian language in all regions of the world (findings published in 2013 in the journal ""Demoskop Weekly""). In the countries of the former Soviet Union the Russian language is gradually being replaced by local languages. Currently the number speakers of Russian language in the world depends on the number of Russians in the world (as the main sources distribution Russian language) and total population Russia (where Russian is an official language)."	What are local languages losing in general?	['<no_answer>']
"In addition, like most Slavic languages, the Shtokavian verb also has one of two aspects: perfective or imperfective. Most verbs come in pairs, with the perfective verb being created out of the imperfective by adding a prefix or making a stem change. The imperfective aspect typically indicates that the action is unfinished, in progress, or repetitive; while the perfective aspect typically denotes that the action was completed, instantaneous, or of limited duration. Some Štokavian tenses (namely, aorist and imperfect) favor a particular aspect (but they are rarer or absent in Čakavian and Kajkavian). Actually, aspects ""compensate"" for the relative lack of tenses, because aspect of the verb determines whether the act is completed or in progress in the referred time."	What do limited duration actions compensate for?	['<no_answer>']
The Saharan cheetah (northwest African cheetah) lives in Algeria, Togo, Niger, Mali, Benin, and Burkina Faso. There remain fewer than 250 mature cheetahs, which are very cautious, fleeing any human presence. The cheetah avoids the sun from April to October, seeking the shelter of shrubs such as balanites and acacias. They are unusually pale. The other cheetah subspecies (northeast African cheetah) lives in Chad, Sudan and the eastern region of Niger. However, it is currently extinct in the wild of Egypt and Libya. They are approximately 2,000 mature individuals left in the wild.	How many cheetahs remain in the Northwest Africa area?	['250']
The conversion rate of omega-6 DGLA to AA largely determines the production of the prostaglandins PGE1 and PGE2. Omega-3 EPA prevents AA from being released from membranes, thereby skewing prostaglandin balance away from pro-inflammatory PGE2 (made from AA) toward anti-inflammatory PGE1 (made from DGLA). Moreover, the conversion (desaturation) of DGLA to AA is controlled by the enzyme delta-5-desaturase, which in turn is controlled by hormones such as insulin (up-regulation) and glucagon (down-regulation). The amount and type of carbohydrates consumed, along with some types of amino acid, can influence processes involving insulin, glucagon, and other hormones; therefore, the ratio of omega-3 versus omega-6 has wide effects on general health, and specific effects on immune function and inflammation, and mitosis (i.e., cell division).	What is the scientific name for cell division?	['mitosis']
"All the major British cities had flourishing department stores by the mid-or late nineteenth century. Increasingly, women became the major shoppers and middle-class households. Kendals (formerly Kendal Milne & Faulkner) in Manchester lays claim to being one of the first department stores and is still known to many of its customers as Kendal's, despite its 2005 name change to House of Fraser. The Manchester institution dates back to 1836 but had been trading as Watts Bazaar since 1796. At its zenith the store had buildings on both sides of Deansgate linked by a subterranean passage ""Kendals Arcade"" and an art nouveau tiled food hall. The store was especially known for its emphasis on quality and style over low prices giving it the nickname ""the Harrods of the North"", although this was due in part to Harrods acquiring the store in 1919. Other large Manchester stores included Paulden's (currently Debenhams) and Lewis's (now a Primark)."	Who became the predominant shoppers for individual households in the nineteenth century?	['women']
"The movement to translate English and European texts transformed the Arabic and Ottoman Turkish languages, and new words, simplified syntax, and directness came to be valued over the previous convolutions. Educated Arabs and Turks in the new professions and the modernized civil service expressed skepticism, writes Christopher de Bellaigue, ""with a freedom that is rarely witnessed today.... No longer was legitimate knowledge defined by texts in the religious schools, interpreted for the most part with stultifying literalness. It had come to include virtually any intellectual production anywhere in the world."" One of the neologisms that, in a way, came to characterize the infusion of new ideas via translation was ""darwiniya"", or ""Darwinism""."	What came to be valued over previous convolutions?	['new words, simplified syntax, and directness']
Until mid-to-late adolescence, boys and girls show relatively little difference in drinking motives. Distinctions between the reasons for alcohol consumption of males and females begin to emerge around ages 14–15; overall, boys tend to view drinking in a more social light than girls, who report on average a more frequent use of alcohol as a coping mechanism. The latter effect appears to shift in late adolescence and onset of early adulthood (18–19 years of age); however, despite this trend, age tends to bring a greater desire to drink for pleasure rather than coping in both boys and girls.	During what ages do reasons for alcohol consumption between males and females begin to diverge?	['14–15']
"On the Origin of Species was first published on Thursday 24 November 1859, priced at fifteen shillings with a first printing of 1250 copies. The book had been offered to booksellers at Murray's autumn sale on Tuesday 22 November, and all available copies had been taken up immediately. In total, 1,250 copies were printed but after deducting presentation and review copies, and five for Stationers' Hall copyright, around 1,170 copies were available for sale. Significantly, 500 were taken by Mudie's Library, ensuring that the book promptly reached a large number of subscribers to the library. The second edition of 3,000 copies was quickly brought out on 7 January 1860, and incorporated numerous corrections as well as a response to religious objections by the addition of a new epigraph on page ii, a quotation from Charles Kingsley, and the phrase ""by the Creator"" added to the closing sentence. During Darwin's lifetime the book went through six editions, with cumulative changes and revisions to deal with counter-arguments raised. The third edition came out in 1861, with a number of sentences rewritten or added and an introductory appendix, An Historical Sketch of the Recent Progress of Opinion on the Origin of Species, while the fourth in 1866 had further revisions. The fifth edition, published on 10 February 1869, incorporated more changes and for the first time included the phrase ""survival of the fittest"", which had been coined by the philosopher Herbert Spencer in his Principles of Biology (1864)."	How many editions did On the Origin of Species go through during Darwin's lifetime?	['six editions']
"In an effort to discourage Japanese militarism, Western powers including Australia, the United States, Britain, and the Dutch government in exile, which controlled the petroleum-rich Dutch East Indies, stopped selling oil, iron ore, and steel to Japan, denying it the raw materials needed to continue its activities in China and French Indochina. In Japan, the government and nationalists viewed these embargos as acts of aggression; imported oil made up about 80% of domestic consumption, without which Japan's economy, let alone its military, would grind to a halt. The Japanese media, influenced by military propagandists,[nb 10] began to refer to the embargoes as the ""ABCD (""American-British-Chinese-Dutch"") encirclement"" or ""ABCD line""."	What did the Japanese media refer to the embargoes as?	"['""ABCD line""']"
The 2004 election was the first to be affected by the campaign finance reforms mandated by the Bipartisan Campaign Reform Act of 2002 (also known as the McCain–Feingold Bill for its sponsors in the United States Senate). Because of the Act's restrictions on candidates' and parties' fundraising, a large number of so-called 527 groups emerged. Named for a section of the Internal Revenue Code, these groups were able to raise large amounts of money for various political causes as long as they do not coordinate their activities with political campaigns. Examples of 527s include Swift Boat Veterans for Truth, MoveOn.org, the Media Fund, and America Coming Together. Many such groups were active throughout the campaign season. (There was some similar activity, although on a much lesser scale, during the 2000 campaign.)	Where did the moniker McCain-Feingold Bill come from?	['its sponsors in the United States Senate']
"According to figures published in 2006 in the journal ""Demoskop Weekly"" research deputy director of Research Center for Sociological Research of the Ministry of Education and Science (Russia) Arefyev A. L., the Russian language is gradually losing its position in the world in general, and in Russia in particular. In 2012, A. L. Arefyev published a new study ""Russian language at the turn of the 20th-21st centuries"", in which he confirmed his conclusion about the trend of further weakening of the Russian language in all regions of the world (findings published in 2013 in the journal ""Demoskop Weekly""). In the countries of the former Soviet Union the Russian language is gradually being replaced by local languages. Currently the number speakers of Russian language in the world depends on the number of Russians in the world (as the main sources distribution Russian language) and total population Russia (where Russian is an official language)."	What department is the Research Center for Sociological Research part of?	['Ministry of Education and Science (Russia)']
Director Sima Urale is an award-winning filmmaker. Urale's short film O Tamaiti won the prestigious Best Short Film at the Venice Film Festival in 1996. Her first feature film Apron Strings opened the 2008 NZ International Film Festival. The feature film Siones Wedding, co-written by Oscar Kightley, was financially successful following premieres in Auckland and Apia. The 2011 film The Orator was the first ever fully Samoan film, shot in Samoa in the Samoan language with a Samoan cast telling a uniquely Samoan story. Written and directed by Tusi Tamasese, it received much critical acclaim and attention at film festivals throughout the world.	What movie was the first ever all-Samoan production?	['The Orator']
In 1970 the country switched its currency from the Bermudian pound to the Bermudian dollar, which is pegged at par with the US dollar. US notes and coins are used interchangeably with Bermudian notes and coins within the islands for most practical purposes; however, banks levy an exchange rate fee for the purchase of US dollars with Bermudian dollars. Bermudian notes carry the image of Queen Elizabeth II. The Bermuda Monetary Authority is the issuing authority for all banknotes and coins, and regulates financial institutions. The Royal Naval Dockyard Museum holds a permanent exhibition of Bermuda notes and coins.	What was the new currency in Bermuda as of 1970?	['Bermudian dollar']
"Offensive Counterair (OCA) is defined as ""offensive operations to destroy, disrupt, or neutralize enemy aircraft, missiles, launch platforms, and their supporting structures and systems both before and after launch, but as close to their source as possible"" (JP 1-02). OCA is the preferred method of countering air and missile threats, since it attempts to defeat the enemy closer to its source and typically enjoys the initiative. OCA comprises attack operations, sweep, escort, and suppression/destruction of enemy air defense."	OCA is the preferred method of defeating what kind of attacks?	['air and missile threats']
Ben Goldacre has argued that regulators – such as the Medicines and Healthcare products Regulatory Agency (MHRA) in the UK, or the Food and Drug Administration (FDA) in the United States – advance the interests of the drug companies rather than the interests of the public due to revolving door exchange of employees between the regulator and the companies and friendships develop between regulator and company employees. He argues that regulators do not require that new drugs offer an improvement over what is already available, or even that they be particularly effective.	Who argued that drug regulators were greater serving the interests of patients than the drug companies?	['<no_answer>']
Despite repeated efforts by the Tajik government to improve and expand health care, the system remains extremely underdeveloped and poor, with severe shortages of medical supplies. The state's Ministry of Labor and Social Welfare reported that 104,272 disabled people are registered in Tajikistan (2000). This group of people suffers most from poverty in Tajikistan. The government of Tajikistan and the World Bank considered activities to support this part of the population described in the World Bank's Poverty Reduction Strategy Paper. Public expenditure on health was at 1% of the GDP in 2004.	What percent of the GDP was spent on health in 2014?	['<no_answer>']
The Supreme Court is the highest court in Ireland. It has authority to interpret the constitution, and strike down laws and activities of the state that it finds to be unconstitutional. It is also the highest authority in the interpretation of the law. Constitutionally it must have authority to interpret the constitution but its further appellate jurisdiction from lower courts is defined by law. The Irish Supreme Court consists of its presiding member, the Chief Justice, and seven other judges. Judges of the Supreme Court are appointed by the President in accordance with the binding advice of the Government. The Supreme Court sits in the Four Courts in Dublin.	Besides chief justice, how many other judges sit on Ireland's Supreme Court?	['seven other judges']
Constantius, renewing his previous policies favoring the Arians, banished Athanasius from Alexandria once again. This was followed, in 356, by an attempt to arrest Athanasius during a vigil service. Athanasius fled to Upper Egypt, where he stayed in several monasteries and other houses. During this period, Athanasius completed his work Four Orations against the Arians and defended his own recent conduct in the Apology to Constantius and Apology for His Flight. Constantius's persistence in his opposition to Athanasius, combined with reports Athanasius received about the persecution of non-Arians by the new Arian bishop George of Laodicea, prompted Athanasius to write his more emotional History of the Arians, in which he described Constantius as a precursor of the Antichrist.	Where did Athanasius flee to after this attempt?	['Upper Egypt']
But Hanover is not only one of the most important Exhibition Cities in the world, it is also one of the German capitals for marksmen. The Schützenfest Hannover is the largest Marksmen's Fun Fair in the world and takes place once a year (late June to early July) (2014 - July 4th to the 13th). It consists of more than 260 rides and inns, five large beer tents and a big entertainment programme. The highlight of this fun fair is the 12 kilometres (7 mi) long Parade of the Marksmen with more than 12.000 participants from all over the world, among them around 5.000 marksmen, 128 bands and more than 70 wagons, carriages and big festival vehicles. It is the longest procession in Europe. Around 2 million people visit this fun fair every year. The landmark of this Fun Fair is the biggest transportable Ferris Wheel in the world (60 m or 197 ft high). The origins of this fun fair is located in the year 1529.	Where can you find the biggest fixed Ferris wheel in the world?	['<no_answer>']
"In his Harvard ""Lectures on Pragmatism"" (1903), Peirce enumerated what he called the ""three cotary propositions of pragmatism"" (L: cos, cotis whetstone), saying that they ""put the edge on the maxim of pragmatism"". First among these he listed the peripatetic-thomist observation mentioned above, but he further observed that this link between sensory perception and intellectual conception is a two-way street. That is, it can be taken to say that whatever we find in the intellect is also incipiently in the senses. Hence, if theories are theory-laden then so are the senses, and perception itself can be seen as a species of abductive inference, its difference being that it is beyond control and hence beyond critique – in a word, incorrigible. This in no way conflicts with the fallibility and revisability of scientific concepts, since it is only the immediate percept in its unique individuality or ""thisness"" – what the Scholastics called its haecceity – that stands beyond control and correction. Scientific concepts, on the other hand, are general in nature, and transient sensations do in another sense find correction within them. This notion of perception as abduction has received periodic revivals in artificial intelligence and cognitive science research, most recently for instance with the work of Irvin Rock on indirect perception."	Who wrote 'Lectures on Pragmatism'?	['Peirce']
Sexual orientation is argued as a concept that evolved in the industrialized West, and there is a controversy as to the universality of its application in other societies or cultures. Non-westernized concepts of male sexuality differ essentially from the way sexuality is seen and classified under the Western system of sexual orientation.[unreliable source?] The validity of the notion of sexual orientation as defined in the West, as a biological phenomenon rather than a social construction specific to a region and period, has also been questioned within the industrialized Western society).	What is causing contreversy as to the concept of sexual orientation?	['the universality of its application in other societies or cultures']
Most Western European countries changed the start of the year to 1 January before they adopted the Gregorian calendar. For example, Scotland changed the start of the Scottish New Year to 1 January in 1600 (this means that 1599 was a short year). England, Ireland and the British colonies changed the start of the year to 1 January in 1752 (so 1751 was a short year with only 282 days) though in England the start of the tax year remained at 25 March (O.S.), 5 April (N.S.) till 1800, when it moved to 6 April. Later in 1752 in September the Gregorian calendar was introduced throughout Britain and the British colonies (see the section Adoption). These two reforms were implemented by the Calendar (New Style) Act 1750.	What do most European countries do after they adopted the Gregorian calendar?	['<no_answer>']
"Society in the Japanese ""Tokugawa period"" (Edo society), unlike the shogunates before it, was based on the strict class hierarchy originally established by Toyotomi Hideyoshi. The daimyo, or lords, were at the top, followed by the warrior-caste of samurai, with the farmers, artisans, and traders ranking below. In some parts of the country, particularly smaller regions, daimyo and samurai were more or less identical, since daimyo might be trained as samurai, and samurai might act as local lords. Otherwise, the largely inflexible nature of this social stratification system unleashed disruptive forces over time. Taxes on the peasantry were set at fixed amounts which did not account for inflation or other changes in monetary value. As a result, the tax revenues collected by the samurai landowners were worth less and less over time. This often led to numerous confrontations between noble but impoverished samurai and well-to-do peasants, ranging from simple local disturbances to much bigger rebellions. None, however, proved compelling enough to seriously challenge the established order until the arrival of foreign powers."	What group were considered to be at the top of the Strict Class Hierarchy?	['The daimyo, or lords']
Comcast Corporation, formerly registered as Comcast Holdings,[note 1] is an American multinational mass media company and is the largest broadcasting and largest cable company in the world by revenue. It is the second largest pay-TV company after the AT&T-DirecTV acquisition, largest cable TV company and largest home Internet service provider in the United States, and the nation's third largest home telephone service provider. Comcast services U.S. residential and commercial customers in 40 states and the District of Columbia. The company's headquarters are located in Philadelphia, Pennsylvania.	What company merged with Comcast, making it the largest TV company?	['<no_answer>']
Zhejiang was the site of the Neolithic cultures of the Hemudu and Liangzhu. A 2007 analysis of the DNA recovered from human remains in the archeological sites of prehistoric peoples along the Yangtze River shows high frequencies of haplogroup O1 in the Liangzhu culture, linking them to Austronesian and Tai-Kadai peoples.	Where was the site of the Hemudu and LIangzhu cultures relocated to?	['<no_answer>']
According to the Centre for Law and Democracy (CLD) and the African Union/United Nations Information Support Team (IST), Somalia did not have systemic internet blocking or filtering as of December 2012. The application of content standards online was also unclear.	What type of internet blocking did Somalia use?	['<no_answer>']
The system was later extended to cover larger ranges and some of its practical shortcomings were addressed by the Austrian scientist Josef Maria Eder (1855–1944) and Flemish-born botanist Walter Hecht (de) (1896–1960), (who, in 1919/1920, jointly developed their Eder–Hecht neutral wedge sensitometer measuring emulsion speeds in Eder–Hecht grades). Still, it remained difficult for manufactures to reliably determine film speeds, often only by comparing with competing products, so that an increasing number of modified semi-Scheiner-based systems started to spread, which no longer followed Scheiner's original procedures and thereby defeated the idea of comparability.	What device allowed manufacturers to reliably determine speed?	['<no_answer>']
3 kV DC is used in Belgium, Italy, Spain, Poland, the northern Czech Republic, Slovakia, Slovenia, South Africa, Chile, and former Soviet Union countries (also using 25 kV 50 Hz AC). It was formerly used by the Milwaukee Road from Harlowton, Montana to Seattle-Tacoma, across the Continental Divide and including extensive branch and loop lines in Montana, and by the Delaware, Lackawanna & Western Railroad (now New Jersey Transit, converted to 25 kV AC) in the United States, and the Kolkata suburban railway (Bardhaman Main Line) in India, before it was converted to 25 kV 50 Hz AC.	Besides using 3kV DC what other power type is used in the former Soviet Union countries?	['25 kV 50 Hz AC']
